Entity,Day,"COVID-19 doses (daily, 7-day average, per million people)"
India,2021-01-16,134.12227
India,2021-01-17,78.67874
India,2021-01-18,106.17876
India,2021-01-19,118.35696
India,2021-01-20,113.15713
India,2021-01-21,122.01453
India,2021-01-22,139.36633
India,2021-01-23,139.40923
India,2021-01-24,139.42757
India,2021-01-25,157.3227
India,2021-01-26,135.76369
India,2021-01-27,155.29172
India,2021-01-28,188.86812
India,2021-01-29,211.4094
India,2021-01-30,216.69083
India,2021-01-31,214.80728
India,2021-02-01,193.06015
India,2021-02-02,211.4097
India,2021-02-03,209.81969
India,2021-02-04,203.58786
India,2021-02-05,192.10556
India,2021-02-06,203.54736
India,2021-02-07,205.80545
India,2021-02-08,231.39514
India,2021-02-09,247.81041
India,2021-02-10,257.32327
India,2021-02-11,255.11871
India,2021-02-12,255.64317
India,2021-02-13,228.21613
India,2021-02-14,247.77107
India,2021-02-15,226.27495
India,2021-02-16,225.074
India,2021-02-17,217.4435
India,2021-02-18,234.66846
India,2021-02-19,248.77774
India,2021-02-20,279.20218
India,2021-02-21,280.6746
India,2021-02-22,291.37442
India,2021-02-23,305.67874
India,2021-02-24,318.6899
India,2021-02-25,322.7637
India,2021-02-26,331.43018
India,2021-02-27,341.17426
India,2021-02-28,322.3196
India,2021-03-01,343.76178
India,2021-03-02,372.15585
India,2021-03-03,425.88004
India,2021-03-04,494.9363
India,2021-03-05,575.3443
India,2021-03-06,669.455
India,2021-03-07,670.25146
India,2021-03-08,817.26074
India,2021-03-09,876.64764
India,2021-03-10,908.8993
India,2021-03-11,817.7438
India,2021-03-12,874.0014
India,2021-03-13,883.55365
India,2021-03-14,893.8727
India,2021-03-15,996.065
India,2021-03-16,1072.0255
India,2021-03-17,1148.3551
India,2021-03-18,1320.3995
India,2021-03-19,1387.5513
India,2021-03-20,1489.8264
India,2021-03-21,1519.1438
India,2021-03-22,1558.15
India,2021-03-23,1581.1594
India,2021-03-24,1603.7798
India,2021-03-25,1620.0325
India,2021-03-26,1608.1821
India,2021-03-27,1570.0541
India,2021-03-28,1549.8593
India,2021-03-29,1264.663
India,2021-03-30,1224.0042
India,2021-03-31,1199.8629
India,2021-04-01,1331.4039
India,2021-04-02,1497.7529
India,2021-04-03,1574.4567
India,2021-04-04,1861.5752
India,2021-04-05,2204.6157
India,2021-04-06,2407.618
India,2021-04-07,2513.6172
India,2021-04-08,2560.1543
India,2021-04-09,2507.6125
India,2021-04-10,2567.207
India,2021-04-11,2547.9553
India,2021-04-12,2547.8306
India,2021-04-13,2415.5337
India,2021-04-14,2434.8223
India,2021-04-15,2293.98
India,2021-04-16,2191.0767
India,2021-04-17,2107.3884
India,2021-04-18,1936.6681
India,2021-04-19,1863.71
India,2021-04-20,1724.6036
India,2021-04-21,1518.6334
India,2021-04-22,1556.5402
India,2021-04-23,1499.353
India,2021-04-24,1445.0907
India,2021-04-25,1536.6471
India,2021-04-26,1542.9838
India,2021-04-27,1652.8048
India,2021-04-28,1744.5734
India,2021-04-29,1655.0637
India,2021-04-30,1713.7744
India,2021-05-01,1662.1302
